PUBCHEM_CID,AID,PUBCHEM_SID,PUBCHEM_ACTIVITY_SCORE,PubChem Standard Value,MolecularWeight,Standard Value,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Units,Activity Comment,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,Panel Target,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,qualifier,pKi,Activity Qualifier,EC50 Qualifier,EC50
11721216,1800296,194690242.0,,0.08405,583.1,,0.08405,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,84.05,,,,,,,,,,,,,,,,,
11751343,1804579,104050842.0,,1.3,451.9,,1.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1300.0,,,,,,,,,,,,,,,,,
11755547,1797499,386053074.0,,0.05,496.3,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
24180536,1798858,57560475.0,,0.664,543.1,,0.664,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,664.0,,,,,,,,,,,,,,,,,
24821094,1801874,136961336.0,,0.0094,440.5,,0.0094,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,
24821881,1801874,164038916.0,,1.536,454.5,,1.536,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1536.0,,,,,,,,,,,,,,,,,
25127385,1806610,471698515.0,,0.0088,463.3,,0.0088,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,8.799999999999997,,,,,,,,,,,,,,,,,
25127713,1798142,433935512.0,,0.0008,491.3,,0.0008,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,
25128361,1806610,471698527.0,,0.013833333333333336,473.3,,0.013833333333333336,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,13.833333333333336,,,,,,,,,,,,,,,,,
25218685,1798858,57560473.0,,0.18600000000000005,508.6,,0.18600000000000005,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,186.0,,,,,,,,,,,,,,,,,
